Date,Junctions Cut,NORTHERN,CENTRAL,NEW ZEALAND,SOUTH AUSTRALIA,SOUTHERN,WESTERN
21/05/2010,37,0,2,3,0,32,0
22/05/2010,34,0,0,7,0,27,0
23/05/2010,0,0,0,0,0,0,0
24/05/2010,44,6,4,3,3,28,0
25/05/2010,31,5,9,0,1,16,0
26/05/2010,46,7,7,0,0,32,0
27/05/2010,50,0,12,7,7,24,0
28/05/2010,33,4,3,0,0,26,0
29/05/2010,6,0,4,0,2,0,0
30/05/2010,7,0,0,7,0,0,0
31/05/2010,47,10,6,7,3,21,0
1/06/2010,29,8,3,6,3,9,0
2/06/2010,42,5,1,14,10,12,0
3/06/2010,41,14,10,4,4,9,0
4/06/2010,38,1,9,0,0,28,0
5/06/2010,32,1,9,0,1,21,0
6/06/2010,0,0,0,0,0,0,0
7/06/2010,29,8,6,0,0,15,0
8/06/2010,31,1,9,0,3,18,0
9/06/2010,52,12,11,6,0,23,0
10/06/2010,56,7,15,0,0,34,0
11/06/2010,13,4,1,0,0,8,0
12/06/2010,3,0,0,3,0,0,0
13/06/2010,0,0,0,0,0,0,0
14/06/2010,1,0,0,1,0,0,0
15/06/2010,33,1,0,8,0,24,0
16/06/2010,49,3,7,1,0,38,0
17/06/2010,30,0,4,3,0,23,0
18/06/2010,15,1,0,0,0,14,0
19/06/2010,14,0,0,0,0,14,0
20/06/2010,0,0,0,0,0,0,0
21/06/2010,34,5,1,4,0,24,0
22/06/2010,38,9,1,4,0,24,0
23/06/2010,43,0,15,0,4,20,4
24/06/2010,27,0,10,0,5,12,0
25/06/2010,40,0,17,0,0,23,0
26/06/2010,2,0,1,0,0,1,0
27/06/2010,1,0,1,0,0,0,0
28/06/2010,24,0,0,0,0,21,3
29/06/2010,9,0,0,0,0,9,0
30/06/2010,27,0,6,0,0,19,2
1/07/2010,23,0,8,0,0,15,0
2/07/2010,38,3,17,0,0,18,0
3/07/2010,14,0,5,0,0,9,0
4/07/2010,0,0,0,0,0,0,0
5/07/2010,36,5,13,3,0,15,0
6/07/2010,40,0,11,5,0,24,0
7/07/2010,35,5,14,0,0,16,0
8/07/2010,42,8,17,0,0,17,0
9/07/2010,23,4,11,0,0,8,0
10/07/2010,6,0,6,0,0,0,0
11/07/2010,0,0,0,0,0,0,0
12/07/2010,30,2,4,0,0,24,0
13/07/2010,50,0,19,0,0,31,0
14/07/2010,19,0,9,0,0,10,0
15/07/2010,32,0,10,0,0,22,0
16/07/2010,42,0,15,0,0,27,0
17/07/2010,12,0,3,0,0,9,0
18/07/2010,0,0,0,0,0,0,0
19/07/2010,47,0,27,0,0,20,0
20/07/2010,30,6,4,0,0,16,4
21/07/2010,27,2,10,0,0,10,5
22/07/2010,64,8,12,0,8,33,3
23/07/2010,25,8,7,0,0,10,0
24/07/2010,3,0,3,0,0,0,0
25/07/2010,0,0,0,0,0,0,0
26/07/2010,34,9,6,0,2,15,2
27/07/2010,26,0,6,0,0,17,3
28/07/2010,36,2,13,0,0,21,0
29/07/2010,40,2,7,4,0,27,0
30/07/2010,42,4,13,0,0,25,0
31/07/2010,28,0,17,0,0,11,0
1/08/2010,0,0,0,0,0,0,0
2/08/2010,40,1,15,0,0,24,0
3/08/2010,46,5,6,0,0,35,0
4/08/2010,12,0,1,0,0,11,0
5/08/2010,22,0,1,0,0,21,0
6/08/2010,28,1,3,0,0,24,0
7/08/2010,0,0,0,0,0,0,0
8/08/2010,0,0,0,0,0,0,0
9/08/2010,26,0,1,0,0,25,0
10/08/2010,17,2,0,0,0,15,0
11/08/2010,21,0,0,0,0,21,0
12/08/2010,26,11,1,0,0,14,0
13/08/2010,24,7,1,0,0,16,0
14/08/2010,31,7,6,0,0,18,0
15/08/2010,0,0,0,0,0,0,0
16/08/2010,32,12,1,0,0,19,0
17/08/2010,34,14,1,0,0,19,0
18/08/2010,42,6,12,0,0,24,0
19/08/2010,47,4,21,0,3,19,0
20/08/2010,21,0,4,0,0,17,0
21/08/2010,8,5,3,0,0,0,0
22/08/2010,0,0,0,0,0,0,0
23/08/2010,22,2,6,0,0,14,0
24/08/2010,40,12,8,0,0,20,0
25/08/2010,19,0,5,0,0,14,0
26/08/2010,55,15,0,0,13,27,0
27/08/2010,38,6,6,0,0,26,0
28/08/2010,29,12,1,0,0,16,0
29/08/2010,0,0,0,0,0,0,0
30/08/2010,35,12,8,0,0,15,0
31/08/2010,27,2,2,0,0,21,2
1/09/2010,25,9,1,0,0,14,1
2/09/2010,30,3,6,0,0,11,10
3/09/2010,38,3,1,0,0,32,2
4/09/2010,11,0,0,0,0,0,11
5/09/2010,0,0,0,0,0,0,0
6/09/2010,28,0,9,0,6,12,1
7/09/2010,30,0,9,0,0,16,5
8/09/2010,47,5,6,0,11,15,10
9/09/2010,45,7,8,0,0,14,16
10/09/2010,38,2,8,0,0,21,7
11/09/2010,10,0,3,0,0,7,0
12/09/2010,0,0,0,0,0,0,0
